Feature,MeanAbsSHAP
AF3_theta,0
AF3_alpha,0
AF3_beta,0
AF3_gamma,0
AF4_theta,0
AF4_alpha,0
AF4_beta,0
AF4_gamma,0
F3_theta,0
F3_alpha,0
F3_beta,0
F3_gamma,0
F4_theta,0
F4_alpha,0
F4_beta,0
F4_gamma,0
F7_theta,0
F7_alpha,0
F7_beta,0
F7_gamma,0
F8_theta,0
F8_alpha,0
F8_beta,0
F8_gamma,0
FC5_theta,0
FC5_alpha,0
FC5_beta,0
FC5_gamma,0
FC6_theta,0
FC6_alpha,0
FC6_beta,0
FC6_gamma,0
O1_theta,0
O1_alpha,0
O1_beta,0
O1_gamma,0
O2_theta,0
O2_alpha,0
O2_beta,0
O2_gamma,0
P7_theta,0
P7_alpha,0
P7_beta,0
P7_gamma,0
P8_theta,0
P8_alpha,0
P8_beta,0
P8_gamma,0
T7_theta,0
T7_alpha,0
T7_beta,0
T7_gamma,0
T8_theta,0
T8_alpha,0
T8_beta,0
T8_gamma,0
